model_label,set_name,q,n_queries,beta,beta_ci_lo,beta_ci_hi,h_range,overturn_lead,h_at_bound,neutral_beta_q_N50,neutral_beta_gridmatched
gemma4_E4B_it,political_ideology_q6,6,1680,8.89704021867033,8.20924615704751,9.769456593636258,5.867571777570772,0.3297485249790005,False,,
gemma4_E4B_it,speech_q3,3,1050,5.252930433086013,4.74719080218677,5.981452044607622,5.36336549894093,0.5105117578903513,False,6.317273293392594,6.182053547367945
llama31_8b_it,ai_governance_q4,4,1050,3.112082768024493,2.90775740729995,3.470302008162967,2.8204473658796188,0.4531446584356109,False,,
llama31_8b_it,ai_values_q10,10,2100,5.065118977903084,4.74634229905525,5.432230218070265,18.824847022811493,1.8582828068734547,True,3.460745460888186,3.4311369420838136
llama31_8b_it,beverage_q5,5,1050,4.645776094907892,4.201017512573031,5.244576635138411,2.170768840484389,0.23362822444927,False,3.033491961792698,3.05730723442424
llama31_8b_it,energy_q2_anchor,2,1050,2.086897831284041,1.7908047798656686,2.4312395619088925,3.92391134376338,0.9401301982639582,False,0.8218580977370997,0.8218576781505142
llama31_8b_it,energy_q3,3,1050,2.720038078677169,2.388456981359452,3.139663389189532,4.9102889815874695,0.9026140148698728,False,2.353925424625188,2.1221332510433504
llama31_8b_it,justice_q3,3,1049,3.021282534296766,2.6480373900387555,3.44053200638122,3.0930076674486457,0.5118699810987015,False,2.353925424625188,2.1221332510433504
llama31_8b_it,pets_q7,7,1960,5.7909286079661575,5.299160737378678,6.230374110506691,2.4457621242933296,0.2111718421920168,False,,
llama31_8b_it,policy_priorities_q10,10,2100,4.854871341320882,4.586328652948058,5.244693988137202,6.265487068941378,0.6452783841679216,False,3.460745460888186,3.4311369420838136
llama31_8b_it,political_ideology_q6,6,1308,4.053522479142848,3.6503471556249374,4.545627189312053,10.771010552761858,1.328598843127605,False,,
llama31_8b_it,speech_q3,3,1049,2.678134692562888,2.4747545263873465,2.9908144295343053,1.4682404185921405,0.2741162389385057,False,2.353925424625188,2.1221332510433504
llama3_70b_awq,ai_governance_q4,4,996,0.0,0.0,0.0332470450149641,4.393525208215962,inf,False,,
llama3_70b_awq,ai_values_q10,10,2099,1.6904573932608522,1.5851171134150388,1.8084387684722671,2.82810977537217,0.8364924743583195,False,2.0387930353638866,1.916607429994766
llama3_70b_awq,beverage_q5,5,1050,1.257705001747313,1.1109668877313876,1.4192341510062667,2.305886679406972,0.9167041063697106,False,0.9091047443161898,0.8444360296868959
llama3_70b_awq,energy_q2_anchor,2,1050,0.0,0.0,0.0,3.7135719484999137,inf,False,5.720574881621588e-06,5.553650756191581e-06
llama3_70b_awq,energy_q3,3,1050,0.0,0.0,0.0,5.558757762243104,inf,False,0.3348799427363401,0.2674813111650276
llama3_70b_awq,justice_q3,3,1042,0.0,0.0,0.0,2.7382216500782777,inf,False,0.3348799427363401,0.2674813111650276
llama3_70b_awq,pets_q7,7,1955,1.315349177241229,1.190132332757068,1.420658126333046,1.7370935765108924,0.660316517684763,False,,
llama3_70b_awq,policy_priorities_q10,10,2091,0.788456723047788,0.6544361634970504,0.9174869273883745,5.251057225716464,3.329959065742026,False,2.0387930353638866,1.916607429994766
llama3_70b_awq,political_ideology_q6,6,1675,0.2067080855594118,0.0,0.4467623924841423,14.620001987012138,35.363885131648786,False,,
llama3_70b_awq,speech_q3,3,980,0.0,0.0,0.0,2.855689545309018,inf,False,0.3348799427363401,0.2674813111650276
qwen25_32b_it,ai_governance_q4,4,1050,6.504720827842927,5.609287917658425,7.622646804255627,2.9047704304203825,0.2232817139504857,False,,
qwen25_32b_it,ai_values_q10,10,2100,8.569199316832847,8.099423249988561,9.044341697980826,4.758289811786769,0.2776391139858222,False,10.17727265828974,9.187395235767376
qwen25_32b_it,beverage_q5,5,1050,6.010768030918837,5.385826387605477,6.813136082431668,3.080136395291526,0.2562182053481009,False,8.008440935025433,7.224132743145501
qwen25_32b_it,energy_q2_anchor,2,1050,2.440657172011344,1.9394019455131648,3.155676559676959,5.903429760514968,1.2093934838971985,False,3.3738794048486214,3.3738794232546003
qwen25_32b_it,energy_q3,3,1050,2.722434491947632,2.454140262527692,3.103531806680684,6.179667748638261,1.1349525152793154,False,6.273822403617955,5.734396120992959
qwen25_32b_it,justice_q3,3,1050,3.9660947116594,3.580802306896256,4.670019758895533,5.891297427445769,0.7427076073255033,False,6.273822403617955,5.734396120992959
qwen25_32b_it,pets_q7,7,1960,6.383524203515976,5.945944296461234,7.065097868070241,5.029619381027007,0.3939531848455079,False,,
qwen25_32b_it,policy_priorities_q10,10,2100,12.861711816496234,11.955572518886369,14.085288776463123,6.998514477851439,0.2720677689603981,False,10.17727265828974,9.187395235767376
qwen25_32b_it,political_ideology_q6,6,1680,6.478568615400593,5.905888191704653,7.29075086066493,11.524127452949308,0.8894038279964046,False,,
qwen25_32b_it,speech_q3,3,1050,6.024069100940452,5.449304318503149,6.665289232898166,0.8099784581308083,0.0672285165192044,False,6.273822403617955,5.734396120992959
qwen25_7b_it,ai_governance_q4,4,1046,3.706451207547173,3.433187273893687,4.078827107926033,2.362233511927581,0.3186651300194563,False,,
qwen25_7b_it,ai_values_q10,10,2097,6.413011916186536,6.036374986596323,6.8152210378307,1.8180963830606092,0.1417505851245736,False,13.30068283580157,13.440880697968613
qwen25_7b_it,beverage_q5,5,1050,4.19292752194662,3.900221623652173,4.6151218766397015,1.2551000288914371,0.1496687007254469,False,8.173062692613541,7.347389924058501
qwen25_7b_it,energy_q2_anchor,2,1049,2.3954104223581347,2.151884542194052,2.6415404291482925,1.475422927782517,0.3079687125870592,False,2.3927690709891185,2.3927673590180074
qwen25_7b_it,energy_q3,3,1049,3.119961847720333,2.8882775284743656,3.439824893358552,2.2419663690596243,0.3592938757725138,False,4.626232673852641,4.175990690316019
qwen25_7b_it,justice_q3,3,1050,4.085911394608423,3.655590526735484,4.790018738103746,6.99523270779172,0.8560186494771156,False,4.626232673852641,4.175990690316019
qwen25_7b_it,pets_q7,7,1960,6.247695000884373,5.810740425689999,6.667336063938105,2.496487810560395,0.1997927083674069,False,,
qwen25_7b_it,policy_priorities_q10,10,2059,5.076909620965405,4.857253946362971,5.394853325091496,3.867964863522321,0.3809369431700464,False,13.30068283580157,13.440880697968613
qwen25_7b_it,political_ideology_q6,6,1672,4.572094054479512,4.295633714440064,4.954954192970089,7.188469173934081,0.7861243763009615,False,,
qwen25_7b_it,speech_q3,3,1033,3.2675639122878204,3.014806670767146,3.628620002213566,1.1561065301028437,0.1769064907583372,False,4.626232673852641,4.175990690316019
