model_label,model_id,model_revision,condition_id,label_mode,semantic_set,q,N,run,run_seed,initial_counts,scheduled_horizon_sweeps,event_observed,consensus_step,consensus_time_sweeps,observed_time_sweeps,counts,leader_share,n_active_opinions,winner_label,surviving_opinions,invalid_count,valid_count,flip_count,reactivation_count,valid_response_rate,temperature,top_p,max_new_tokens
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q2_N100,neutral_per_query,,2,100,1,90120107,"{""aa"": 50, ""ab"": 50}",100,True,887.0,8.87,8.87,"{""aa"": 0, ""ab"": 100}",1.0,1,ab,"[""ab""]",0,887,194,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q2_N100,neutral_per_query,,2,100,2,90220107,"{""aa"": 50, ""ab"": 50}",100,True,774.0,7.74,7.74,"{""aa"": 100, ""ab"": 0}",1.0,1,aa,"[""aa""]",0,774,200,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q50_N200,neutral_per_query,,50,200,0,90500207,"{""aa"": 4, ""ab"": 4, ""ac"": 4, ""ad"": 4, ""ae"": 4, ""af"": 4, ""ag"": 4, ""ah"": 4, ""ai"": 4, ""aj"": 4, ""ak"": 4, ""al"": 4, ""am"": 4, ""an"": 4, ""ao"": 4, ""ap"": 4, ""aq"": 4, ""ar"": 4, ""as"": 4, ""at"": 4, ""au"": 4, ""av"": 4, ""aw"": 4, ""ax"": 4, ""ay"": 4, ""az"": 4, ""ba"": 4, ""bb"": 4, ""bc"": 4, ""bd"": 4, ""be"": 4, ""bf"": 4, ""bg"": 4, ""bh"": 4, ""bi"": 4, ""bj"": 4, ""bk"": 4, ""bl"": 4, ""bm"": 4, ""bn"": 4, ""bo"": 4, ""bp"": 4, ""bq"": 4, ""br"": 4, ""bs"": 4, ""bt"": 4, ""bu"": 4, ""bv"": 4, ""bw"": 4, ""bx"": 4}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 0, ""ak"": 0, ""al"": 0, ""am"": 0, ""an"": 0, ""ao"": 0, ""ap"": 0, ""aq"": 0, ""ar"": 0, ""as"": 0, ""at"": 0, ""au"": 0, ""av"": 0, ""aw"": 0, ""ax"": 0, ""ay"": 0, ""az"": 0, ""ba"": 0, ""bb"": 0, ""bc"": 0, ""bd"": 0, ""be"": 0, ""bf"": 0, ""bg"": 0, ""bh"": 0, ""bi"": 0, ""bj"": 0, ""bk"": 145, ""bl"": 0, ""bm"": 0, ""bn"": 55, ""bo"": 0, ""bp"": 0, ""bq"": 0, ""br"": 0, ""bs"": 0, ""bt"": 0, ""bu"": 0, ""bv"": 0, ""bw"": 0, ""bx"": 0}",0.725,2,bk,"[""bk"", ""bn""]",0,20000,9126,1,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q50_N200,neutral_per_query,,50,200,1,90600207,"{""aa"": 4, ""ab"": 4, ""ac"": 4, ""ad"": 4, ""ae"": 4, ""af"": 4, ""ag"": 4, ""ah"": 4, ""ai"": 4, ""aj"": 4, ""ak"": 4, ""al"": 4, ""am"": 4, ""an"": 4, ""ao"": 4, ""ap"": 4, ""aq"": 4, ""ar"": 4, ""as"": 4, ""at"": 4, ""au"": 4, ""av"": 4, ""aw"": 4, ""ax"": 4, ""ay"": 4, ""az"": 4, ""ba"": 4, ""bb"": 4, ""bc"": 4, ""bd"": 4, ""be"": 4, ""bf"": 4, ""bg"": 4, ""bh"": 4, ""bi"": 4, ""bj"": 4, ""bk"": 4, ""bl"": 4, ""bm"": 4, ""bn"": 4, ""bo"": 4, ""bp"": 4, ""bq"": 4, ""br"": 4, ""bs"": 4, ""bt"": 4, ""bu"": 4, ""bv"": 4, ""bw"": 4, ""bx"": 4}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 69, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 0, ""ak"": 0, ""al"": 131, ""am"": 0, ""an"": 0, ""ao"": 0, ""ap"": 0, ""aq"": 0, ""ar"": 0, ""as"": 0, ""at"": 0, ""au"": 0, ""av"": 0, ""aw"": 0, ""ax"": 0, ""ay"": 0, ""az"": 0, ""ba"": 0, ""bb"": 0, ""bc"": 0, ""bd"": 0, ""be"": 0, ""bf"": 0, ""bg"": 0, ""bh"": 0, ""bi"": 0, ""bj"": 0, ""bk"": 0, ""bl"": 0, ""bm"": 0, ""bn"": 0, ""bo"": 0, ""bp"": 0, ""bq"": 0, ""br"": 0, ""bs"": 0, ""bt"": 0, ""bu"": 0, ""bv"": 0, ""bw"": 0, ""bx"": 0}",0.655,2,al,"[""ae"", ""al""]",0,20000,8859,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,neutral_q50_N200,neutral_per_query,,50,200,2,90700207,"{""aa"": 4, ""ab"": 4, ""ac"": 4, ""ad"": 4, ""ae"": 4, ""af"": 4, ""ag"": 4, ""ah"": 4, ""ai"": 4, ""aj"": 4, ""ak"": 4, ""al"": 4, ""am"": 4, ""an"": 4, ""ao"": 4, ""ap"": 4, ""aq"": 4, ""ar"": 4, ""as"": 4, ""at"": 4, ""au"": 4, ""av"": 4, ""aw"": 4, ""ax"": 4, ""ay"": 4, ""az"": 4, ""ba"": 4, ""bb"": 4, ""bc"": 4, ""bd"": 4, ""be"": 4, ""bf"": 4, ""bg"": 4, ""bh"": 4, ""bi"": 4, ""bj"": 4, ""bk"": 4, ""bl"": 4, ""bm"": 4, ""bn"": 4, ""bo"": 4, ""bp"": 4, ""bq"": 4, ""br"": 4, ""bs"": 4, ""bt"": 4, ""bu"": 4, ""bv"": 4, ""bw"": 4, ""bx"": 4}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 0, ""ak"": 0, ""al"": 0, ""am"": 0, ""an"": 0, ""ao"": 0, ""ap"": 0, ""aq"": 0, ""ar"": 0, ""as"": 0, ""at"": 0, ""au"": 0, ""av"": 0, ""aw"": 0, ""ax"": 0, ""ay"": 0, ""az"": 0, ""ba"": 0, ""bb"": 0, ""bc"": 0, ""bd"": 0, ""be"": 0, ""bf"": 0, ""bg"": 0, ""bh"": 0, ""bi"": 0, ""bj"": 0, ""bk"": 0, ""bl"": 72, ""bm"": 0, ""bn"": 0, ""bo"": 0, ""bp"": 0, ""bq"": 0, ""br"": 128, ""bs"": 0, ""bt"": 0, ""bu"": 0, ""bv"": 0, ""bw"": 0, ""bx"": 0}",0.64,2,br,"[""bl"", ""br""]",0,20000,9002,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,political_ideology_q6_N50,semantic,political_ideology,6,50,0,90060057,"{""conservatism"": 9, ""green politics"": 8, ""liberalism"": 8, ""libertarianism"": 9, ""nationalism"": 8, ""socialism"": 8}",100,True,224.0,4.48,4.48,"{""conservatism"": 0, ""green politics"": 0, ""liberalism"": 50, ""libertarianism"": 0, ""nationalism"": 0, ""socialism"": 0}",1.0,1,liberalism,"[""liberalism""]",0,224,82,0,1.0,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,political_ideology_q6_N50,semantic,political_ideology,6,50,1,90160057,"{""conservatism"": 8, ""green politics"": 9, ""liberalism"": 8, ""libertarianism"": 8, ""nationalism"": 9, ""socialism"": 8}",100,True,491.0,9.82,9.82,"{""conservatism"": 0, ""green politics"": 0, ""liberalism"": 50, ""libertarianism"": 0, ""nationalism"": 0, ""socialism"": 0}",1.0,1,liberalism,"[""liberalism""]",1,490,55,0,0.9979633401221996,0.2,0.9,16
qwen25_7b_abliterated_v2,huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,447ff10df7c9b7031f28eec54b9042a362d09696,political_ideology_q6_N50,semantic,political_ideology,6,50,2,90260057,"{""conservatism"": 8, ""green politics"": 8, ""liberalism"": 9, ""libertarianism"": 8, ""nationalism"": 8, ""socialism"": 9}",100,True,264.0,5.28,5.28,"{""conservatism"": 0, ""green politics"": 0, ""liberalism"": 50, ""libertarianism"": 0, ""nationalism"": 0, ""socialism"": 0}",1.0,1,liberalism,"[""liberalism""]",0,264,47,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_matched_political_q6_N50,neutral_per_query,,6,50,0,90060057,"{""aa"": 8, ""ab"": 9, ""ac"": 8, ""ad"": 9, ""ae"": 8, ""af"": 8}",100,True,213.0,4.26,4.26,"{""aa"": 0, ""ab"": 0, ""ac"": 50, ""ad"": 0, ""ae"": 0, ""af"": 0}",1.0,1,ac,"[""ac""]",0,213,63,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_matched_political_q6_N50,neutral_per_query,,6,50,1,90160057,"{""aa"": 8, ""ab"": 8, ""ac"": 8, ""ad"": 8, ""ae"": 9, ""af"": 9}",100,True,150.0,3.0,3.0,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 50}",1.0,1,af,"[""af""]",0,150,53,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_matched_political_q6_N50,neutral_per_query,,6,50,2,90260057,"{""aa"": 9, ""ab"": 8, ""ac"": 9, ""ad"": 8, ""ae"": 8, ""af"": 8}",100,True,264.0,5.28,5.28,"{""aa"": 50, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0}",1.0,1,aa,"[""aa""]",0,264,61,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q10_N100,neutral_per_query,,10,100,0,90100107,"{""aa"": 10, ""ab"": 10, ""ac"": 10, ""ad"": 10, ""ae"": 10, ""af"": 10, ""ag"": 10, ""ah"": 10, ""ai"": 10, ""aj"": 10}",100,True,477.0,4.77,4.77,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 100, ""aj"": 0}",1.0,1,ai,"[""ai""]",0,477,98,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q10_N100,neutral_per_query,,10,100,1,90200107,"{""aa"": 10, ""ab"": 10, ""ac"": 10, ""ad"": 10, ""ae"": 10, ""af"": 10, ""ag"": 10, ""ah"": 10, ""ai"": 10, ""aj"": 10}",100,True,669.0,6.69,6.69,"{""aa"": 100, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 0}",1.0,1,aa,"[""aa""]",0,669,161,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q10_N100,neutral_per_query,,10,100,2,90300107,"{""aa"": 10, ""ab"": 10, ""ac"": 10, ""ad"": 10, ""ae"": 10, ""af"": 10, ""ag"": 10, ""ah"": 10, ""ai"": 10, ""aj"": 10}",100,True,481.0,4.81,4.81,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 100, ""ah"": 0, ""ai"": 0, ""aj"": 0}",1.0,1,ag,"[""ag""]",0,481,113,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q10_N200,neutral_per_query,,10,200,0,90100207,"{""aa"": 20, ""ab"": 20, ""ac"": 20, ""ad"": 20, ""ae"": 20, ""af"": 20, ""ag"": 20, ""ah"": 20, ""ai"": 20, ""aj"": 20}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 191, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 9, ""ah"": 0, ""ai"": 0, ""aj"": 0}",0.955,2,ac,"[""ac"", ""ag""]",0,20000,1966,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q10_N200,neutral_per_query,,10,200,1,90200207,"{""aa"": 20, ""ab"": 20, ""ac"": 20, ""ad"": 20, ""ae"": 20, ""af"": 20, ""ag"": 20, ""ah"": 20, ""ai"": 20, ""aj"": 20}",100,False,,,100.0,"{""aa"": 12, ""ab"": 0, ""ac"": 188, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 0}",0.94,2,ac,"[""aa"", ""ac""]",0,20000,2074,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q10_N200,neutral_per_query,,10,200,2,90300207,"{""aa"": 20, ""ab"": 20, ""ac"": 20, ""ad"": 20, ""ae"": 20, ""af"": 20, ""ag"": 20, ""ah"": 20, ""ai"": 20, ""aj"": 20}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 15, ""ah"": 0, ""ai"": 0, ""aj"": 185}",0.925,2,aj,"[""ag"", ""aj""]",0,20000,1902,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q2_N100,neutral_per_query,,2,100,0,90020107,"{""aa"": 50, ""ab"": 50}",100,True,789.0,7.89,7.89,"{""aa"": 100, ""ab"": 0}",1.0,1,aa,"[""aa""]",0,789,164,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q2_N100,neutral_per_query,,2,100,1,90120107,"{""aa"": 50, ""ab"": 50}",100,True,604.0,6.04,6.04,"{""aa"": 100, ""ab"": 0}",1.0,1,aa,"[""aa""]",0,604,132,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q2_N100,neutral_per_query,,2,100,2,90220107,"{""aa"": 50, ""ab"": 50}",100,True,517.0,5.17,5.17,"{""aa"": 100, ""ab"": 0}",1.0,1,aa,"[""aa""]",0,517,146,0,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q50_N200,neutral_per_query,,50,200,0,90500207,"{""aa"": 4, ""ab"": 4, ""ac"": 4, ""ad"": 4, ""ae"": 4, ""af"": 4, ""ag"": 4, ""ah"": 4, ""ai"": 4, ""aj"": 4, ""ak"": 4, ""al"": 4, ""am"": 4, ""an"": 4, ""ao"": 4, ""ap"": 4, ""aq"": 4, ""ar"": 4, ""as"": 4, ""at"": 4, ""au"": 4, ""av"": 4, ""aw"": 4, ""ax"": 4, ""ay"": 4, ""az"": 4, ""ba"": 4, ""bb"": 4, ""bc"": 4, ""bd"": 4, ""be"": 4, ""bf"": 4, ""bg"": 4, ""bh"": 4, ""bi"": 4, ""bj"": 4, ""bk"": 4, ""bl"": 4, ""bm"": 4, ""bn"": 4, ""bo"": 4, ""bp"": 4, ""bq"": 4, ""br"": 4, ""bs"": 4, ""bt"": 4, ""bu"": 4, ""bv"": 4, ""bw"": 4, ""bx"": 4}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 0, ""ak"": 0, ""al"": 0, ""am"": 0, ""an"": 0, ""ao"": 0, ""ap"": 0, ""aq"": 0, ""ar"": 0, ""as"": 0, ""at"": 0, ""au"": 0, ""av"": 0, ""aw"": 0, ""ax"": 0, ""ay"": 0, ""az"": 0, ""ba"": 0, ""bb"": 0, ""bc"": 0, ""bd"": 0, ""be"": 0, ""bf"": 81, ""bg"": 0, ""bh"": 0, ""bi"": 0, ""bj"": 119, ""bk"": 0, ""bl"": 0, ""bm"": 0, ""bn"": 0, ""bo"": 0, ""bp"": 0, ""bq"": 0, ""br"": 0, ""bs"": 0, ""bt"": 0, ""bu"": 0, ""bv"": 0, ""bw"": 0, ""bx"": 0}",0.595,2,bj,"[""bf"", ""bj""]",0,20000,9448,1,1.0,0.2,0.9,16
qwen25_7b_parent,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,neutral_q50_N200,neutral_per_query,,50,200,1,90600207,"{""aa"": 4, ""ab"": 4, ""ac"": 4, ""ad"": 4, ""ae"": 4, ""af"": 4, ""ag"": 4, ""ah"": 4, ""ai"": 4, ""aj"": 4, ""ak"": 4, ""al"": 4, ""am"": 4, ""an"": 4, ""ao"": 4, ""ap"": 4, ""aq"": 4, ""ar"": 4, ""as"": 4, ""at"": 4, ""au"": 4, ""av"": 4, ""aw"": 4, ""ax"": 4, ""ay"": 4, ""az"": 4, ""ba"": 4, ""bb"": 4, ""bc"": 4, ""bd"": 4, ""be"": 4, ""bf"": 4, ""bg"": 4, ""bh"": 4, ""bi"": 4, ""bj"": 4, ""bk"": 4, ""bl"": 4, ""bm"": 4, ""bn"": 4, ""bo"": 4, ""bp"": 4, ""bq"": 4, ""br"": 4, ""bs"": 4, ""bt"": 4, ""bu"": 4, ""bv"": 4, ""bw"": 4, ""bx"": 4}",100,False,,,100.0,"{""aa"": 0, ""ab"": 0, ""ac"": 0, ""ad"": 0, ""ae"": 0, ""af"": 0, ""ag"": 0, ""ah"": 0, ""ai"": 0, ""aj"": 0, ""ak"": 0, ""al"": 0, ""am"": 0, ""an"": 0, ""ao"": 0, ""ap"": 0, ""aq"": 0, ""ar"": 0, ""as"": 0, ""at"": 0, ""au"": 0, ""av"": 0, ""aw"": 0, ""ax"": 0, ""ay"": 0, ""az"": 0, ""ba"": 0, ""bb"": 0, ""bc"": 0, ""bd"": 0, ""be"": 0, ""bf"": 0, ""bg"": 0, ""bh"": 0, ""bi"": 0, ""bj"": 116, ""bk"": 0, ""bl"": 0, ""bm"": 0, ""bn"": 0, ""bo"": 84, ""bp"": 0, ""bq"": 0, ""br"": 0, ""bs"": 0, ""bt"": 0, ""bu"": 0, ""bv"": 0, ""bw"": 0, ""bx"": 0}",0.58,2,bj,"[""bj"", ""bo""]",0,20000,9264,0,1.0,0.2,0.9,16
